# Frequency(Hz) Real(n) Imag(n)
1.341766312695046082e+11 1.991828968220427543e+00 5.407001949562206464e-03
1.357551798726752472e+11 1.991630794926966042e+00 3.887166729948340980e-03
1.373337284758458862e+11 1.990979419919966631e+00 2.762986622529447957e-03
1.389122770790165405e+11 1.990169142683158254e+00 2.031144233640214732e-03
1.404908256821871643e+11 1.989352680120336725e+00 1.593819376582332600e-03
1.420693742853578186e+11 1.988587658909569900e+00 1.356482974620131128e-03
1.436479228885284424e+11 1.987885584125322014e+00 1.252859282432375277e-03
1.452264714916990967e+11 1.987240642620800690e+00 1.243092482900686347e-03
1.468050200948697510e+11 1.986643478765537374e+00 1.306046100894774249e-03
1.483835686980403748e+11 1.986086876513768695e+00 1.432324877231120870e-03
1.499621173012110291e+11 1.985567646886027937e+00 1.619282678921321605e-03
1.515406659043816528e+11 1.985086927776706478e+00 1.867776824164112419e-03
1.531192145075523071e+11 1.984649969105155787e+00 2.180180897821719192e-03
1.546977631107229614e+11 1.984265955515846169e+00 2.559228677650899134e-03
1.562763117138935852e+11 1.983948227952443188e+00 3.007329416882060114e-03
1.578548603170642395e+11 1.983715255946279399e+00 3.525957682403392177e-03
1.594334089202348938e+11 1.983592805663846770e+00 4.114461261905344447e-03
1.610119575234055176e+11 1.983617814445901795e+00 4.766886074873483842e-03
1.625905061265761719e+11 1.983843978779456618e+00 5.463612538560582918e-03
1.641690547297467957e+11 1.984345749926714086e+00 6.150949755536047094e-03
1.657476033329174500e+11 1.985203773835104268e+00 6.698709081861329954e-03
1.673261519360881042e+11 1.986419470555900180e+00 6.849433432599255286e-03
1.689047005392587280e+11 1.987720190920015728e+00 6.301147396984205923e-03
1.704832491424293823e+11 1.988562446894329039e+00 5.094622594397234597e-03
1.720617977456000061e+11 1.988667701792083520e+00 3.730534521582764152e-03
1.736403463487706604e+11 1.988235226258301847e+00 2.638259212223829659e-03
1.752188949519413147e+11 1.987578142502427703e+00 1.923091593027715079e-03
1.767974435551119385e+11 1.986896271592734298e+00 1.513851763152777169e-03
1.783759921582825928e+11 1.986272886157604445e+00 1.308046396578063349e-03
1.799545407614532166e+11 1.985726339644529936e+00 1.226330880672951533e-03
1.815330893646238708e+11 1.985248648602613075e+00 1.219329606879634119e-03
1.831116379677945251e+11 1.984825174136376935e+00 1.260358576565783666e-03
1.846901865709651489e+11 1.984442720710501318e+00 1.337111375261563128e-03
1.862687351741358032e+11 1.984092099710279777e+00 1.445515992331693244e-03
1.878472837773064575e+11 1.983768411360030903e+00 1.585787717536387255e-03
1.894258323804770813e+11 1.983470538317481324e+00 1.760065921027643369e-03
1.910043809836477356e+11 1.983200494602862074e+00 1.971090476150273718e-03
1.925829295868183594e+11 1.982962923016535761e+00 2.221543877995444012e-03
1.941614781899890137e+11 1.982764927597128191e+00 2.513803085694948751e-03
1.957400267931596680e+11 1.982616449435995465e+00 2.849869676780776052e-03
1.973185753963302917e+11 1.982531497656835784e+00 3.231119938454101934e-03
1.988971239995009460e+11 1.982530668932443341e+00 3.657074454378473824e-03
2.004756726026715698e+11 1.982645219071696552e+00 4.121247664419530436e-03
2.020542212058422241e+11 1.982921134983972600e+00 4.599763159046337500e-03
2.036327698090128784e+11 1.983413710546945152e+00 5.026175255038561364e-03
2.052113184121835022e+11 1.984142859546635496e+00 5.258709616776682111e-03
2.067898670153541565e+11 1.984984934946972590e+00 5.114767565938180965e-03
2.083684156185247803e+11 1.985652400927856442e+00 4.570925977152648714e-03
2.099469642216954346e+11 1.985956988795769318e+00 3.859386452742743275e-03
2.115255128248660889e+11 1.985960422793563218e+00 3.216451914400041308e-03
2.131040614280367126e+11 1.985809481419424261e+00 2.721412048041057120e-03
2.146826100312073669e+11 1.985605534932348037e+00 2.355384113431863158e-03
2.162611586343779907e+11 1.985393512936726168e+00 2.077073417620136850e-03
2.178397072375486450e+11 1.985185724699372267e+00 1.853192408932939628e-03
2.194182558407192993e+11 1.984980722902324191e+00 1.663392905991674560e-03
2.209968044438899231e+11 1.984773038071045104e+00 1.497514578493916101e-03
2.225753530470605774e+11 1.984557276916151025e+00 1.351987457258500835e-03
2.241539016502312317e+11 1.984329481012094387e+00 1.227097595868247015e-03
2.257324502534018555e+11 1.984087289017762545e+00 1.125241795724635837e-03
2.273109988565725098e+11 1.983829627632922810e+00 1.049977343815403997e-03
2.288895474597431335e+11 1.983556274843723211e+00 1.005695553860683905e-03
2.304680960629137878e+11 1.983267498410869356e+00 9.978339781328158988e-04
2.320466446660844421e+11 1.982963973176136374e+00 1.033621362002070006e-03
2.336251932692550659e+11 1.982647306208529248e+00 1.123393310522072773e-03
2.352037418724257202e+11 1.982321795296060563e+00 1.282455924833222211e-03
2.367822904755963440e+11 1.981998593692706256e+00 1.533089446692386922e-03
2.383608390787669983e+11 1.981704207842705401e+00 1.904972262733092012e-03
