# Frequency(Hz) n_real k_imag
3.062384e+11 2.004754e+00 1.752644e-02
3.078170e+11 2.006835e+00 1.117438e-02
3.093955e+11 2.007210e+00 6.042251e-03
3.109741e+11 2.006618e+00 1.724440e-03
3.125526e+11 2.005336e+00 -1.930932e-03
3.141312e+11 2.003510e+00 -4.994339e-03
3.157097e+11 2.001214e+00 -7.469279e-03
3.172883e+11 1.998620e+00 -9.327712e-03
3.188668e+11 1.995770e+00 -1.053422e-02
3.204454e+11 1.992822e+00 -1.106894e-02
3.220239e+11 1.989921e+00 -1.094514e-02
3.236025e+11 1.987203e+00 -1.021500e-02
3.251810e+11 1.984774e+00 -8.962219e-03
3.267596e+11 1.982704e+00 -7.284726e-03
3.283381e+11 1.981029e+00 -5.275636e-03
3.299167e+11 1.979757e+00 -3.008811e-03
3.314952e+11 1.978885e+00 -5.308664e-04
3.330738e+11 1.978415e+00 2.142095e-03
3.346523e+11 1.978368e+00 5.026571e-03
3.362309e+11 1.978812e+00 8.176894e-03
3.378094e+11 1.979904e+00 1.170071e-02
3.393879e+11 1.982027e+00 1.579653e-02
3.409665e+11 1.986406e+00 2.079072e-02
3.425450e+11 1.997697e+00 2.280026e-02
3.441236e+11 2.004006e+00 1.563174e-02
3.457021e+11 2.005856e+00 9.858830e-03
3.472807e+11 2.006174e+00 5.182348e-03
3.488592e+11 2.005613e+00 1.251806e-03
3.504378e+11 2.004419e+00 -2.083407e-03
3.520163e+11 2.002720e+00 -4.874175e-03
3.535949e+11 2.000558e+00 -7.117108e-03
3.551734e+11 1.998182e+00 -8.782038e-03
3.567520e+11 1.995550e+00 -9.835023e-03
3.583305e+11 1.992847e+00 -1.026142e-02
3.599091e+11 1.990208e+00 -1.008057e-02
3.614876e+11 1.987758e+00 -9.349547e-03
3.630662e+11 1.985593e+00 -8.153264e-03
3.646447e+11 1.983771e+00 -6.586730e-03
3.662233e+11 1.982316e+00 -4.737346e-03
3.678018e+11 1.981230e+00 -2.672226e-03
3.693804e+11 1.980508e+00 -4.324681e-04
3.709589e+11 1.980148e+00 1.969106e-03
3.725375e+11 1.980169e+00 4.548513e-03
3.741160e+11 1.980631e+00 7.355586e-03
3.756946e+11 1.981678e+00 1.048574e-02
3.772731e+11 1.983665e+00 1.411150e-02
3.788517e+11 1.987722e+00 1.848464e-02
3.804302e+11 1.997728e+00 1.992968e-02
3.820088e+11 2.003260e+00 1.357167e-02
3.835873e+11 2.004884e+00 8.366629e-03
3.851659e+11 2.005116e+00 4.128591e-03
3.867444e+11 2.004539e+00 5.675916e-04
3.883230e+11 2.003380e+00 -2.439484e-03
3.899015e+11 2.001762e+00 -4.930753e-03
3.914801e+11 1.999779e+00 -6.900067e-03
3.930586e+11 1.997537e+00 -8.323093e-03
